stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0351,Maligaun,27.7225,85.332,27.7137828,85.3344018,997.7,MISMATCH
S0352,Mahalaxmisthan,27.6651,85.3218,27.6621751,85.3171035,565.4,MISMATCH
S0353,Sano Bharyang,27.7198,85.2915,27.7209172,85.2892154,256.9,OK
S0354,Chappal Karkhana,27.7305,85.332,27.7349193,85.3424002,1135.5,MISMATCH
S0355,Gopikrishna,27.719,85.356,,,,NOT_FOUND
S0356,Naya Bazar (Thamel),27.7135,85.3095,,,,NOT_FOUND
S0357,Chhetrapati,27.7128,85.309,27.7112071,85.3086148,181.1,OK
S0358,Kirtipur Mod,27.68,85.292,,,,NOT_FOUND
S0360,Lubhu Bus Park,27.6496,85.362,,,,NOT_FOUND
S0361,Dungin / School Chowk,27.6535,85.3562,,,,NOT_FOUND
S0362,Sanagaun Chowk,27.6582,85.3495,,,,NOT_FOUND
S0363,Siddhipur / Tikathali Dobato,27.662,85.3442,,,,NOT_FOUND
S0364,Imadol Krishna Mandir,27.6655,85.3388,,,,NOT_FOUND
S0365,Ratamakai Chowk,27.668,85.3362,,,,NOT_FOUND
S0366,KIST Hospital Chowk,27.6692,85.335,,,,NOT_FOUND
S0367,Prayag Pokhari / Patan College,27.6685,85.3265,,,,NOT_FOUND
S0368,Patan Hospital Dobato,27.6672,85.3235,,,,NOT_FOUND
S0153,Poolbazar Bus Stop (Pulbazar),27.6322,85.5153,,,,NOT_FOUND
S0229,Chundevi Bus Stop (Chunudevi),27.6669,85.4172,,,,NOT_FOUND
S0369,Thali,27.72694,85.40417,27.7271011,85.4044485,32.7,OK
S0370,Danchhi,27.72989,85.41778,27.7362385,85.4155265,739.9,MISMATCH
S0371,Bramhakhel,27.7299,85.4279,,,,NOT_FOUND
S0372,Pepsicola,27.6915,85.3621,27.6887901,85.3667416,547.4,MISMATCH
S0373,Babachowk,27.6975,85.3686,,,,NOT_FOUND
S0374,Gothatar Height/Tarigaon,27.702,85.367,,,,NOT_FOUND
S0375,Gothatar Chowk,27.7005,85.365,,,,NOT_FOUND
S0376,Gothatar School,27.699,85.364,27.7073275,85.3768406,1567.0,MISMATCH
S0377,Khahare,27.688,85.359,27.7063953,85.2297401,12889.5,MISMATCH
S0378,Khahare Chowk,27.6875,85.3585,27.6967912,85.3663548,1290.5,MISMATCH
S0379,Hanumansthan,27.6965,85.3275,27.6933054,85.3275196,355.2,OK
S0380,Padmodaya,27.7015,85.318,27.7015277,85.3218282,376.9,OK
S0382,Baidya Khana,27.698,85.33,,,,NOT_FOUND
S0383,Harharmahadev,27.693,85.372,27.6951657,85.3800349,826.9,MISMATCH
S0384,Kandaghari,27.695,85.368,,,,NOT_FOUND
